train_scope,ship_type,scenario,feature_set,model,split,actual_label,pred_efficient,pred_medium,pred_inefficient
ship_type_model,General cargo ship,ship_type_model,strict_static,hist_gradient_boosting,holdout_2022,efficient,320,73,10
ship_type_model,General cargo ship,ship_type_model,strict_static,hist_gradient_boosting,holdout_2022,medium,46,253,104
ship_type_model,General cargo ship,ship_type_model,strict_static,hist_gradient_boosting,holdout_2022,inefficient,22,38,343
ship_type_model,General cargo ship,ship_type_model,strict_static,hist_gradient_boosting,test_2023,efficient,305,78,17
ship_type_model,General cargo ship,ship_type_model,strict_static,hist_gradient_boosting,test_2023,medium,86,186,128
ship_type_model,General cargo ship,ship_type_model,strict_static,hist_gradient_boosting,test_2023,inefficient,40,71,289
unified_model,Bulk carrier,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,efficient,925,301,131
unified_model,Bulk carrier,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,medium,298,647,412
unified_model,Bulk carrier,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,inefficient,130,237,990
unified_model,Bulk carrier,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,efficient,855,297,72
unified_model,Bulk carrier,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,medium,339,715,169
unified_model,Bulk carrier,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,inefficient,118,513,592
unified_model,Oil tanker,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,efficient,576,70,23
unified_model,Oil tanker,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,medium,113,391,164
unified_model,Oil tanker,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,inefficient,34,130,504
unified_model,Oil tanker,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,efficient,566,62,13
unified_model,Oil tanker,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,medium,136,439,65
unified_model,Oil tanker,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,inefficient,36,301,303
unified_model,Container ship,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,efficient,463,118,37
unified_model,Container ship,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,medium,71,431,116
unified_model,Container ship,unified_model,operational_no_emission,hist_gradient_boosting,holdout_2022,inefficient,12,111,495
unified_model,Container ship,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,efficient,422,185,34
unified_model,Container ship,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,medium,161,219,261
unified_model,Container ship,unified_model,operational_no_emission,hist_gradient_boosting,test_2023,inefficient,11,35,595
