ship_type,reporting_year,report_scope,temporal_split,imo_number,ship_name,technical_efficiency_type,technical_efficiency_value,total_fuel_consumption_mt,fuel_per_distance_kg_nm,total_co2_emissions_mt,co2_per_distance_kg_nm,time_spent_at_sea_hours,efficiency_label_distance,distance_efficiency_rank_pct,isolation_score,isolation_rank_pct_ship_type,lof_score,lof_rank_pct_ship_type,predicted_co2_per_distance_kg_nm,residual_signed_log,residual_abs_z,residual_rank_pct_ship_type,consensus_score,consensus_rank_pct_global,method_flags_count,isolation_top2pct,lof_top2pct,residual_top2pct,dominant_deviation_fields,screening_explanation
Oil tanker,2024,full_er,external_2024,9445461,OLYMPIC TROPHY,EEXI,2.13,676.2,28175,2152.8736,89703.07,29.8,inefficient,0.999506,0.701318,0.997071,3.297675,0.998122,2773.455919,3.476061,518.351119,0.999925,0.998373,0.999779,3,true,true,true,fuel_per_distance_kg_nm:high:z=15.71; co2_per_distance_kg_nm:high:z=15.70; time_spent_at_sea_hours:low:z=5.09,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=15.71; co2_per_distance_kg_nm:high:z=15.70; time_spent_at_sea_hours:low:z=5.09
Gas carrier,2021,annual_er,train,9131539,GAZ LIBERTY,EIV,7.71,3138.61,1583.56,9904.14,4997.04,146.23,inefficient,1.000000,0.669826,0.996170,2.343336,0.998723,1409.648492,1.264996,125.781028,1.000000,0.998298,0.999744,3,true,true,true,fuel_per_distance_kg_nm:high:z=7.96; co2_per_distance_kg_nm:high:z=7.95; time_spent_at_sea_hours:low:z=2.55,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=7.96; co2_per_distance_kg_nm:high:z=7.95; time_spent_at_sea_hours:low:z=2.55
LNG carrier,2023,annual_er,test,9230048,SEAPEAK HISPANIA,EEXI,7.51,25673.04,37754.47,70655.06,103904.5,88,inefficient,1.000000,0.670475,0.994886,9.211019,1.000000,2429.386680,3.755431,149.345977,1.000000,0.998295,0.999732,3,true,true,true,fuel_per_distance_kg_nm:high:z=13.16; co2_per_distance_kg_nm:high:z=12.32; time_spent_at_sea_hours:low:z=3.91,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=13.16; co2_per_distance_kg_nm:high:z=12.32; time_spent_at_sea_hours:low:z=3.91
Oil tanker,2018,annual_er,train,9240201,PETROPORT,EEDI,455.4,1288.17,510.39,4126.4469,1634.97,8478.75,inefficient,0.997799,0.685261,0.995343,5.362961,0.999624,9146.143042,-1.721206,256.537215,0.999624,0.998197,0.999721,3,true,true,true,technical_efficiency_value:high:z=14.54; co2_per_distance_kg_nm:high:z=3.99; fuel_per_distance_kg_nm:high:z=3.94,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are technical_efficiency_value:high:z=14.54; co2_per_distance_kg_nm:high:z=3.99; fuel_per_distance_kg_nm:high:z=3.94
Bulk carrier,2024,full_er,external_2024,9591686,DARYA GAYATRI,EEXI,3.49,3.4,425,10.9004,1362.55,1.1,inefficient,0.997768,0.746321,0.999921,2.435481,0.997220,2006.298834,-0.386698,47.031606,0.996863,0.998001,0.999709,3,true,true,true,time_spent_at_sea_hours:low:z=9.33; total_co2_emissions_mt:low:z=8.33; total_fuel_consumption_mt:low:z=8.13,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=9.33; total_co2_emissions_mt:low:z=8.33; total_fuel_consumption_mt:low:z=8.13
Oil tanker,2021,annual_er,train,9145413,ICARUS III,EIV,8.17,719.207,719207,2305.78,2305780,8760,inefficient,1.000000,0.675182,0.994066,5.571291,0.999700,2917.388370,6.672143,994.872019,1.000000,0.997922,0.999697,3,true,true,true,fuel_per_distance_kg_nm:high:z=25.22; co2_per_distance_kg_nm:high:z=25.18; technical_efficiency_value:high:z=1.97,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=25.22; co2_per_distance_kg_nm:high:z=25.18; technical_efficiency_value:high:z=1.97
Bulk carrier,2020,annual_er,train,9785603,FARAH LOUISE,EEDI,3.54,102.22,6.85,327.7173,21.95,1206.4,efficient,0.000309,0.670845,0.995592,3.199519,0.998451,84.702293,-1.317562,160.516797,0.999484,0.997842,0.999686,3,true,true,true,co2_per_distance_kg_nm:low:z=10.28; fuel_per_distance_kg_nm:low:z=10.07; total_fuel_consumption_mt:low:z=3.57,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=10.28; fuel_per_distance_kg_nm:low:z=10.07; total_fuel_consumption_mt:low:z=3.57
Bulk carrier,2019,annual_er,train,9782314,ILEKTRA,EEDI,3.68,832.51,64736.39,2598.01,202022.51,1,inefficient,1.000000,0.664534,0.994401,4.002046,0.999047,1698.396102,4.778111,582.630560,0.999960,0.997803,0.999674,3,true,true,true,fuel_per_distance_kg_nm:high:z=27.15; co2_per_distance_kg_nm:high:z=27.02; time_spent_at_sea_hours:low:z=9.40,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=27.15; co2_per_distance_kg_nm:high:z=27.02; time_spent_at_sea_hours:low:z=9.40
Vehicle carrier,2019,annual_er,train,9777802,BELUGA ACE,EEDI,19.7,103.91,7.65,333.14,24.53,1023.17,efficient,0.002309,0.716354,0.999060,4.032851,0.995925,79.855558,-1.152810,117.612305,0.997806,0.997597,0.999663,3,true,true,true,fuel_per_distance_kg_nm:low:z=16.57; co2_per_distance_kg_nm:low:z=16.46; total_fuel_consumption_mt:low:z=4.34,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:low:z=16.57; co2_per_distance_kg_nm:low:z=16.46; total_fuel_consumption_mt:low:z=4.34
Oil tanker,2018,annual_er,train,9308223,HELEN M,NOT_APPLICABLE,,25,18.49,77.85,57.58,130.67,efficient,0.000550,0.759861,1.000000,2.257635,0.995493,105.947794,-0.601947,89.661026,0.997146,0.997546,0.999639,3,true,true,true,total_co2_emissions_mt:low:z=5.94; total_fuel_consumption_mt:low:z=5.90; co2_per_distance_kg_nm:low:z=5.74,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=5.94; total_fuel_consumption_mt:low:z=5.90; co2_per_distance_kg_nm:low:z=5.74
