ship_type,reporting_year,report_scope,temporal_split,imo_number,ship_name,technical_efficiency_type,technical_efficiency_value,total_fuel_consumption_mt,fuel_per_distance_kg_nm,total_co2_emissions_mt,co2_per_distance_kg_nm,time_spent_at_sea_hours,efficiency_label_distance,distance_efficiency_rank_pct,isolation_score,isolation_rank_pct_ship_type,lof_score,lof_rank_pct_ship_type,predicted_co2_per_distance_kg_nm,residual_signed_log,residual_abs_z,residual_rank_pct_ship_type,consensus_score,consensus_rank_pct_global,method_flags_count,isolation_top2pct,lof_top2pct,residual_top2pct,dominant_deviation_fields,screening_explanation
Oil tanker,2019,annual_er,train,9240201,PETROPORT,EIV,25.65,1028.24,1398.59,3293.57,4479.83,66,inefficient,0.999490,0.707567,0.997822,2.373208,0.995794,7574.971961,-0.525173,78.214363,0.996395,0.996670,0.999465,3,true,true,true,co2_per_distance_kg_nm:high:z=6.94; fuel_per_distance_kg_nm:high:z=6.90; technical_efficiency_value:high:z=5.40,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=6.94; fuel_per_distance_kg_nm:high:z=6.90; technical_efficiency_value:high:z=5.40
Ro-ro ship,2018,annual_er,train,9203605,AYSHE,NOT_APPLICABLE,,29962,282.27,93345.644,879.4,276023,inefficient,0.996324,0.689747,0.996462,16.206683,1.000000,682.049894,0.253808,30.742815,0.993514,0.996659,0.999453,3,true,true,true,time_spent_at_sea_hours:high:z=14.24; co2_per_distance_kg_nm:high:z=3.34; fuel_per_distance_kg_nm:high:z=3.32,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are time_spent_at_sea_hours:high:z=14.24; co2_per_distance_kg_nm:high:z=3.34; fuel_per_distance_kg_nm:high:z=3.32
Bulk carrier,2018,annual_er,train,9675602,KYPROS SEA,NOT_APPLICABLE,,943.88,12.63,2948.6511,39.45,1099,efficient,0.000575,0.662670,0.994044,2.755504,0.997816,66.394405,-0.510495,62.124184,0.997617,0.996492,0.999441,3,true,true,true,co2_per_distance_kg_nm:low:z=7.95; fuel_per_distance_kg_nm:low:z=7.79; total_co2_emissions_mt:low:z=0.37,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=7.95; fuel_per_distance_kg_nm:low:z=7.79; total_co2_emissions_mt:low:z=0.37
General cargo ship,2020,annual_er,train,9307358,TIMCA,EIV,29.5,15720.01,169.87,48981.9559,529.29,5848,inefficient,0.996737,0.668492,0.995080,3.378783,0.998360,659.039070,-0.218875,27.521351,0.996017,0.996486,0.999430,3,true,true,true,total_fuel_consumption_mt:high:z=3.34; total_co2_emissions_mt:high:z=3.33; co2_per_distance_kg_nm:high:z=2.54,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_fuel_consumption_mt:high:z=3.34; total_co2_emissions_mt:high:z=3.33; co2_per_distance_kg_nm:high:z=2.54
Oil tanker,2018,annual_er,train,9394727,ASPHALT SPRING,,,89.4,45.72,281.5932,144,260.14,efficient,0.006604,0.731789,0.999324,2.392684,0.996019,124.231467,0.146570,21.939441,0.993841,0.996395,0.999418,3,true,true,true,total_co2_emissions_mt:low:z=4.30; total_fuel_consumption_mt:low:z=4.29; co2_per_distance_kg_nm:low:z=3.09,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=4.30; total_fuel_consumption_mt:low:z=4.29; co2_per_distance_kg_nm:low:z=3.09
Bulk carrier,2018,annual_er,train,9349978,BURAK DEVAL,,0,173,30.26,541.0312,94.62,759.7,efficient,0.002587,0.668302,0.994877,2.196079,0.996307,55.644896,0.523580,63.944011,0.997856,0.996347,0.999407,3,true,true,true,technical_efficiency_value:low:z=6.63; co2_per_distance_kg_nm:low:z=4.42; fuel_per_distance_kg_nm:low:z=4.36,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are technical_efficiency_value:low:z=6.63; co2_per_distance_kg_nm:low:z=4.42; fuel_per_distance_kg_nm:low:z=4.36
Oil tanker,2020,annual_er,train,9240201,PETROPORT,EIV,25.65,1036.49,1321.43,3322.9869,4236.5,97.1,inefficient,0.998958,0.703215,0.997371,2.380148,0.995869,2923.739541,0.370768,55.366328,0.995643,0.996294,0.999395,3,true,true,true,co2_per_distance_kg_nm:high:z=6.77; fuel_per_distance_kg_nm:high:z=6.73; technical_efficiency_value:high:z=5.40,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=6.77; fuel_per_distance_kg_nm:high:z=6.73; technical_efficiency_value:high:z=5.40
Bulk carrier,2024,full_er,external_2024,9929015,BBG HONG KONG,EEXI,3.42,29.15,832.86,93.4549,2670.14,4.1,inefficient,0.999008,0.744917,0.999841,1.901339,0.992733,1959.906493,0.309098,37.795715,0.996307,0.996294,0.999383,3,true,true,true,co2_per_distance_kg_nm:high:z=9.26; fuel_per_distance_kg_nm:high:z=9.19; time_spent_at_sea_hours:low:z=8.04,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=9.26; fuel_per_distance_kg_nm:high:z=9.19; time_spent_at_sea_hours:low:z=8.04
Bulk carrier,2024,full_er,external_2024,9848132,YASA JUPITER,EEDI,3.87,13.6,888.89,42.447,2774.31,1,inefficient,0.999256,0.744294,0.999762,2.124664,0.995473,2445.906611,0.125938,15.465882,0.993607,0.996281,0.999372,3,true,true,true,fuel_per_distance_kg_nm:high:z=9.46; co2_per_distance_kg_nm:high:z=9.41; time_spent_at_sea_hours:low:z=9.40,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=9.46; co2_per_distance_kg_nm:high:z=9.41; time_spent_at_sea_hours:low:z=9.40
Oil tanker,2020,annual_er,train,9145413,ICARUS III,EIV,8.17,709.68,3986.97,2275.2341,12782.21,7814,inefficient,1.000000,0.669799,0.992864,2.517469,0.996470,2917.388370,1.477101,220.315428,0.999249,0.996194,0.999360,3,true,true,true,co2_per_distance_kg_nm:high:z=10.00; fuel_per_distance_kg_nm:high:z=9.97; technical_efficiency_value:high:z=1.97,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=10.00; fuel_per_distance_kg_nm:high:z=9.97; technical_efficiency_value:high:z=1.97
General cargo ship,2024,full_er,external_2024,9473688,HANDY HEIDI,EEXI,6.17,2.1425,119.03,6.75446,375.25,3.3,inefficient,0.990370,0.714209,0.999414,2.617250,0.996486,428.800653,-0.133068,16.702857,0.992620,0.996174,0.999348,3,true,true,true,total_co2_emissions_mt:low:z=8.73; total_fuel_consumption_mt:low:z=8.37; time_spent_at_sea_hours:low:z=7.79,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=8.73; total_fuel_consumption_mt:low:z=8.37; time_spent_at_sea_hours:low:z=7.79
Chemical tanker,2019,annual_er,train,9448891,VEMAHONESTY,EIV,18.49,53.75,18.38,170.94,58.44,349,efficient,0.001483,0.725399,0.999164,2.149624,0.991638,102.728197,-0.556807,65.421222,0.997700,0.996167,0.999337,3,true,true,true,total_fuel_consumption_mt:low:z=5.39; total_co2_emissions_mt:low:z=5.37; co2_per_distance_kg_nm:low:z=5.34,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_fuel_consumption_mt:low:z=5.39; total_co2_emissions_mt:low:z=5.37; co2_per_distance_kg_nm:low:z=5.34
Container ship,2024,full_er,external_2024,9809203,ZHONG GU PENG LAI,EEDI,7.77,72.42,33.31,225.51588,103.73,283.28,efficient,0.001353,0.722070,0.999004,2.273232,0.996401,88.574707,0.156313,18.262567,0.992878,0.996094,0.999325,3,true,true,true,total_co2_emissions_mt:low:z=4.46; total_fuel_consumption_mt:low:z=4.43; time_spent_at_sea_hours:low:z=3.50,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=4.46; total_fuel_consumption_mt:low:z=4.43; time_spent_at_sea_hours:low:z=3.50
Oil tanker,2022,annual_er,validation,9145413,ICARUS III,EIV,8.17,710.52,4308.79,2277.93,13814.01,7482,inefficient,0.999501,0.665451,0.992113,2.570308,0.996695,2914.988032,1.555547,232.011349,0.999474,0.996094,0.999313,3,true,true,true,co2_per_distance_kg_nm:high:z=10.23; fuel_per_distance_kg_nm:high:z=10.20; technical_efficiency_value:high:z=1.97,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=10.23; fuel_per_distance_kg_nm:high:z=10.20; technical_efficiency_value:high:z=1.97
Bulk carrier,2020,annual_er,train,9200574,LADY SPERANZA,EIV,3.11,20.5,43.62,64.619,137.49,49,efficient,0.010816,0.714294,0.999007,1.993923,0.994242,113.445273,0.190701,23.361459,0.994997,0.996082,0.999302,3,true,true,true,total_co2_emissions_mt:low:z=5.86; total_fuel_consumption_mt:low:z=5.83; time_spent_at_sea_hours:low:z=4.73,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=5.86; total_fuel_consumption_mt:low:z=5.83; time_spent_at_sea_hours:low:z=4.73
General cargo ship,2019,annual_er,train,9307358,TIMCA,EIV,29.5,14680,168.61,45750.32,525.46,5674,inefficient,0.998377,0.665570,0.994612,3.015000,0.997423,659.039070,-0.226124,28.435255,0.996134,0.996056,0.999290,3,true,true,true,total_fuel_consumption_mt:high:z=3.25; total_co2_emissions_mt:high:z=3.24; co2_per_distance_kg_nm:high:z=2.53,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_fuel_consumption_mt:high:z=3.25; total_co2_emissions_mt:high:z=3.24; co2_per_distance_kg_nm:high:z=2.53
Bulk carrier,2019,annual_er,train,9602784,GEMMA,EIV,2.45,11320,218.12,35324.36,680.65,7541,inefficient,0.993353,0.671900,0.995751,2.156201,0.995989,937.843445,-0.320132,38.916290,0.996386,0.996042,0.999278,3,true,true,true,fuel_per_distance_kg_nm:high:z=3.67; co2_per_distance_kg_nm:high:z=3.65; total_fuel_consumption_mt:high:z=3.22,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=3.67; co2_per_distance_kg_nm:high:z=3.65; total_fuel_consumption_mt:high:z=3.22
Chemical tanker,2019,annual_er,train,9247388,APATYTH,EIV,9.93,262.12,890.66,840.36,2855.44,2084.7,inefficient,0.999259,0.668427,0.993937,2.564865,0.994356,938.411743,1.112077,130.776612,0.999791,0.996028,0.999267,3,true,true,true,co2_per_distance_kg_nm:high:z=8.41; fuel_per_distance_kg_nm:high:z=8.38; total_fuel_consumption_mt:low:z=3.02,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=8.41; fuel_per_distance_kg_nm:high:z=8.38; total_fuel_consumption_mt:low:z=3.02
Refrigerated cargo carrier,2018,annual_er,train,9230995,CARLOS FISCHER,,,14878.97,209.04,46486.621,653.12,3972.6,inefficient,1.000000,0.707203,1.000000,2.127835,0.996020,555.178575,0.162201,23.548002,0.992040,0.996020,0.999255,3,true,true,true,fuel_per_distance_kg_nm:high:z=3.14; co2_per_distance_kg_nm:high:z=3.12; total_fuel_consumption_mt:high:z=1.86,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=3.14; co2_per_distance_kg_nm:high:z=3.12; total_fuel_consumption_mt:high:z=1.86
Container ship,2018,annual_er,train,9306471,STRAUSS,EIV,18.94,335.7,12.65,1059.2526,39.92,2704.99,efficient,0.000575,0.640778,0.990351,3.537217,0.998468,90.995785,-0.810124,94.624717,0.999004,0.995941,0.999244,3,true,true,true,co2_per_distance_kg_nm:low:z=3.87; fuel_per_distance_kg_nm:low:z=3.82; total_co2_emissions_mt:low:z=2.86,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=3.87; fuel_per_distance_kg_nm:low:z=3.82; total_co2_emissions_mt:low:z=2.86
Ro-pax ship,2022,annual_er,validation,8700723,ISABELLE,EIV,4.06,3926.66,5276.63,12390.07,16649.74,54.9,inefficient,1.000000,0.682426,0.992112,3.735681,0.997849,6305.362440,0.970896,80.378262,0.997849,0.995936,0.999232,3,true,true,true,time_spent_at_sea_hours:low:z=10.64; co2_per_distance_kg_nm:high:z=9.15; fuel_per_distance_kg_nm:high:z=9.14,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=10.64; co2_per_distance_kg_nm:high:z=9.15; fuel_per_distance_kg_nm:high:z=9.14
Oil tanker,2024,full_er,external_2024,9855331,FRONT EIRA,EEXI,2.16,19.4,200,60.8808,627.64,8.98,inefficient,0.916049,0.706807,0.997671,2.195630,0.995193,800.084168,-0.242407,36.055255,0.994742,0.995869,0.999220,3,true,true,true,time_spent_at_sea_hours:low:z=6.46; total_co2_emissions_mt:low:z=6.26; total_fuel_consumption_mt:low:z=6.21,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=6.46; total_co2_emissions_mt:low:z=6.26; total_fuel_consumption_mt:low:z=6.21
Oil tanker,2024,full_er,external_2024,9236353,BLUE,EEXI,2.77,73.1,543.09,227.6334,1691.18,43.48,inefficient,0.995556,0.737838,0.999624,1.753283,0.988658,6956.144286,-1.413751,210.697218,0.999174,0.995819,0.999209,3,true,true,true,time_spent_at_sea_hours:low:z=4.64; total_co2_emissions_mt:low:z=4.58; total_fuel_consumption_mt:low:z=4.55,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=4.64; total_co2_emissions_mt:low:z=4.58; total_fuel_consumption_mt:low:z=4.55
General cargo ship,2018,annual_er,train,9307358,TIMCA,,,17131.23,188.04,53391.9455,586.05,5600.53,inefficient,0.997405,0.706162,0.999297,2.633009,0.996603,659.039070,-0.117189,14.700893,0.991332,0.995744,0.999197,3,true,true,true,total_fuel_consumption_mt:high:z=3.46; total_co2_emissions_mt:high:z=3.45; co2_per_distance_kg_nm:high:z=2.79,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_fuel_consumption_mt:high:z=3.46; total_co2_emissions_mt:high:z=3.45; co2_per_distance_kg_nm:high:z=2.79
Container ship,2023,annual_er,test,9946867,MSC VICTORINE,EEXI,6.43,7.7,245.61,23.98,764.91,4,inefficient,0.770151,0.705353,0.998468,2.678812,0.997243,666.852320,0.136998,16.006424,0.991499,0.995737,0.999185,3,true,true,true,time_spent_at_sea_hours:low:z=9.47; total_co2_emissions_mt:low:z=6.75; total_fuel_consumption_mt:low:z=6.63,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=9.47; total_co2_emissions_mt:low:z=6.75; total_fuel_consumption_mt:low:z=6.63
Oil tanker,2020,annual_er,train,9249324,A SYMPHONY,EIV,2.69,211.9,1064.82,662.0002,3326.63,135.5,inefficient,0.997917,0.709642,0.998122,1.995607,0.993615,2534.598099,0.271831,40.615245,0.995193,0.995643,0.999174,3,true,true,true,fuel_per_distance_kg_nm:high:z=6.10; co2_per_distance_kg_nm:high:z=6.07; time_spent_at_sea_hours:low:z=3.27,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=6.10; co2_per_distance_kg_nm:high:z=6.07; time_spent_at_sea_hours:low:z=3.27
Gas carrier,2020,annual_er,train,9625140,CORAL ANTHELIA,EIV,22.59,137.96,17.74,433.1752,55.69,777.3,efficient,0.002899,0.644649,0.988936,2.632380,0.999149,118.832417,-0.748496,74.419263,0.998723,0.995603,0.999162,3,true,true,true,co2_per_distance_kg_nm:low:z=4.28; fuel_per_distance_kg_nm:low:z=4.25; total_co2_emissions_mt:low:z=3.38,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=4.28; fuel_per_distance_kg_nm:low:z=4.25; total_co2_emissions_mt:low:z=3.38
Bulk carrier,2023,annual_er,test,9861160,FRANZ SCHULTE,EEXI,4.29,5.59,56.46,17.92,181.01,9,efficient,0.049046,0.695827,0.998094,2.254971,0.996545,164.745507,0.093608,11.524438,0.991899,0.995513,0.999150,3,true,true,true,total_co2_emissions_mt:low:z=7.66; total_fuel_consumption_mt:low:z=7.54; time_spent_at_sea_hours:low:z=7.06,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=7.66; total_fuel_consumption_mt:low:z=7.54; time_spent_at_sea_hours:low:z=7.06
Bulk carrier,2022,annual_er,validation,9229879,REK NOBLE,EIV,18.23,26.8,93.06,85.1,295.49,41,medium,0.561042,0.700347,0.998372,2.342205,0.996903,271.172022,0.085579,10.545601,0.991224,0.995500,0.999139,3,true,true,true,total_co2_emissions_mt:low:z=5.47; total_fuel_consumption_mt:low:z=5.46; time_spent_at_sea_hours:low:z=4.98,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=5.47; total_fuel_consumption_mt:low:z=5.46; time_spent_at_sea_hours:low:z=4.98
Oil tanker,2018,annual_er,train,9145413,ICARUS III,EIV,8.17,697.82,4386.05,2237.2109,14061.67,8758,inefficient,1.000000,0.672527,0.993540,2.595030,0.996770,9146.143042,0.430082,64.209789,0.995869,0.995393,0.999127,3,true,true,true,co2_per_distance_kg_nm:high:z=10.28; fuel_per_distance_kg_nm:high:z=10.25; technical_efficiency_value:high:z=1.97,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=10.28; fuel_per_distance_kg_nm:high:z=10.25; technical_efficiency_value:high:z=1.97
Ro-pax ship,2021,annual_er,train,9007128,AURORA AF HELSINGBORG,EEDI,36.92,281.693,6.78,903.1,21.75,5184,efficient,0.002577,0.695377,0.995339,2.257158,0.993546,45.304144,-0.710666,58.878410,0.997132,0.995339,0.999116,3,true,true,true,co2_per_distance_kg_nm:low:z=7.94; fuel_per_distance_kg_nm:low:z=7.78; total_co2_emissions_mt:low:z=4.67,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=7.94; fuel_per_distance_kg_nm:low:z=7.78; total_co2_emissions_mt:low:z=4.67
Oil tanker,2018,annual_er,train,9176929,ANNELEEN KNUTSEN,,,4234,197.14,41000.204,1909.03,6475,inefficient,0.998899,0.660560,0.991512,2.212795,0.995268,731.388194,0.958564,143.003899,0.999024,0.995268,0.999104,3,true,true,true,co2_per_distance_kg_nm:high:z=4.45; total_co2_emissions_mt:high:z=2.09; time_spent_at_sea_hours:high:z=1.44,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=4.45; total_co2_emissions_mt:high:z=2.09; time_spent_at_sea_hours:high:z=1.44
Bulk carrier,2018,annual_er,train,9602784,GEMMA,EIV,2.45,11691.27,278.15,36472.9808,867.72,7826.6,inefficient,0.997988,0.684377,0.997379,2.795694,0.997895,937.843445,-0.077628,9.351612,0.990271,0.995182,0.999092,3,true,true,true,fuel_per_distance_kg_nm:high:z=4.67; co2_per_distance_kg_nm:high:z=4.64; total_fuel_consumption_mt:high:z=3.27,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=4.67; co2_per_distance_kg_nm:high:z=4.64; total_fuel_consumption_mt:high:z=3.27
Chemical tanker,2019,annual_er,train,9580974,ADFINES STAR,EIV,11.23,4271.59,746.29,26985.31,4714.6,5723.78,inefficient,1.000000,0.639876,0.988084,3.434674,0.997282,1164.546424,1.397686,164.353419,0.999895,0.995087,0.999081,3,true,true,true,co2_per_distance_kg_nm:high:z=10.19; fuel_per_distance_kg_nm:high:z=7.74; total_co2_emissions_mt:high:z=2.22,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=10.19; fuel_per_distance_kg_nm:high:z=7.74; total_co2_emissions_mt:high:z=2.22
Gas carrier,2022,annual_er,validation,9909285,GAS VITALITY,EEDI,15.07,2205.72,1166.26,6607.86,3493.86,374.34,inefficient,1.000000,0.649790,0.991489,1.994317,0.994043,1409.202237,0.907560,90.241384,0.999574,0.995035,0.999069,3,true,true,true,fuel_per_distance_kg_nm:high:z=7.12; co2_per_distance_kg_nm:high:z=6.98; time_spent_at_sea_hours:low:z=1.64,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=7.12; co2_per_distance_kg_nm:high:z=6.98; time_spent_at_sea_hours:low:z=1.64
Bulk carrier,2024,full_er,external_2024,9305659,HYUNDAI BUSAN,EEXI,11.7,5990.8,250.08,18668.5532,779.29,1709.2,inefficient,0.996777,0.649768,0.990509,2.121321,0.995433,1960.258530,-0.921676,112.252828,0.999126,0.995023,0.999057,3,true,true,true,fuel_per_distance_kg_nm:high:z=4.24; co2_per_distance_kg_nm:high:z=4.20; technical_efficiency_value:high:z=3.15,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=4.24; co2_per_distance_kg_nm:high:z=4.20; technical_efficiency_value:high:z=3.15
Other ship types,2019,annual_er,train,9648788,GOLDEN ODYSSEY,,,21.8,251.44,69.89,806.12,13.7,inefficient,0.955224,0.731576,1.000000,1.902100,0.991781,1180.049326,-0.380686,34.715406,0.993151,0.994977,0.999046,3,true,true,true,time_spent_at_sea_hours:low:z=6.67; total_co2_emissions_mt:low:z=5.47; total_fuel_consumption_mt:low:z=5.42,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=6.67; total_co2_emissions_mt:low:z=5.47; total_fuel_consumption_mt:low:z=5.42
Chemical tanker,2020,annual_er,train,9247388,APATYTH,EIV,9.93,17.35,248.21,55.6241,795.77,13,inefficient,0.998506,0.751939,1.000000,2.119948,0.991220,1072.057572,-0.297701,34.960216,0.993519,0.994913,0.999034,3,true,true,true,total_fuel_consumption_mt:low:z=7.04; total_co2_emissions_mt:low:z=7.03; time_spent_at_sea_hours:low:z=6.42,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_fuel_consumption_mt:low:z=7.04; total_co2_emissions_mt:low:z=7.03; time_spent_at_sea_hours:low:z=6.42
Bulk carrier,2023,annual_er,test,8202018,IRON DESTINY,EEXI,3.34,940.42,1624.78,2992.2,5169.66,82.47,inefficient,0.999728,0.645779,0.989596,2.119863,0.995394,1304.346602,1.376532,167.930686,0.999563,0.994851,0.999022,3,true,true,true,co2_per_distance_kg_nm:high:z=11.97; fuel_per_distance_kg_nm:high:z=11.95; time_spent_at_sea_hours:low:z=3.98,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=11.97; fuel_per_distance_kg_nm:high:z=11.95; time_spent_at_sea_hours:low:z=3.98
Container ship,2024,full_er,external_2024,9103374,MEDKON IZMIR,EIV,25.98,45.28,30.74,142.41596,96.67,142.97,efficient,0.000451,0.726928,0.999311,1.607523,0.988896,127.555065,-0.274763,32.090400,0.996248,0.994818,0.999011,3,true,true,true,total_co2_emissions_mt:low:z=4.94; total_fuel_consumption_mt:low:z=4.91; time_spent_at_sea_hours:low:z=4.50,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=4.94; total_fuel_consumption_mt:low:z=4.91; time_spent_at_sea_hours:low:z=4.50
Vehicle carrier,2022,annual_er,validation,9427964,PARANA,EIV,21.39,7383.49,112.16,19.88,0.3,4950.2,efficient,0.002123,0.658112,0.985266,6.172406,0.999373,80.853281,-4.142564,422.316239,0.999687,0.994775,0.998999,3,true,true,true,co2_per_distance_kg_nm:low:z=35.70; total_co2_emissions_mt:low:z=8.02; total_fuel_consumption_mt:high:z=1.29,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=35.70; total_co2_emissions_mt:low:z=8.02; total_fuel_consumption_mt:high:z=1.29
Bulk carrier,2020,annual_er,train,9225043,SCARLET LADY,EIV,6.59,91.92,483.79,292.0275,1536.99,13,inefficient,0.999073,0.717488,0.999126,1.655480,0.986221,3254.682650,-0.749926,91.314063,0.998848,0.994732,0.998988,3,true,true,true,co2_per_distance_kg_nm:high:z=6.99; fuel_per_distance_kg_nm:high:z=6.95; time_spent_at_sea_hours:low:z=6.57,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=6.99; fuel_per_distance_kg_nm:high:z=6.95; time_spent_at_sea_hours:low:z=6.57
Oil tanker,2020,annual_er,train,9187239,CAPE BALDER,EEDI,3.08,9042.99,1747.47,28208.8857,5451.1,523.62,inefficient,0.999479,0.641353,0.987681,2.814331,0.997446,2531.016034,0.766985,114.440434,0.998648,0.994592,0.998976,3,true,true,true,fuel_per_distance_kg_nm:high:z=7.55; co2_per_distance_kg_nm:high:z=7.51; time_spent_at_sea_hours:low:z=1.63,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=7.55; co2_per_distance_kg_nm:high:z=7.51; time_spent_at_sea_hours:low:z=1.63
