normalized_field,sheet_count,sheets
annual_monitoring_results__co2eq_emissions_from_all_voyages_to_ports_under_a_ms_jurisdiction,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_jurisdiction,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_per_distance,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_per_distance_on_laden_voyages,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_per_time_spent_at_sea,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_per_transport_work_dwt,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_per_transport_work_dwt_on_laden_voyages,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_per_transport_work_freight,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_per_transport_work_freight_on_laden_voyages,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_per_transport_work_mass,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_per_transport_work_mass_on_laden_voyages,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_per_transport_work_pax,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_per_transport_work_pax_on_laden_voyages,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_per_transport_work_volume,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_per_transport_work_volume_on_laden_voyages,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_to_be_reported_under_directive_2003_87_ec,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_which_occurred_within_ports_under_a_ms_jurisdiction,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__co2eq_emissions_which_occurred_within_ports_under_a_ms_jurisdiction_at_berth,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__distance_through_ice,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__fuel_consumption_per_distance,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__fuel_consumption_per_distance_on_laden_voyages,2,2024 Full ERs; 2024 Partial ERs
annual_monitoring_results__fuel_consumption_per_time_spent_at_sea,2,2024 Full ERs; 2024 Partial ERs
