consensus_rank,ship_type,reporting_year,report_scope,imo_number,ship_name,efficiency_label_distance,consensus_score,flags_1pct,at_least_two_1pct,all_three_1pct,flags_2pct,at_least_two_2pct,all_three_2pct,flags_5pct,at_least_two_5pct,all_three_5pct
138,Ro-pax ship,2023,annual_er,9878993,BASTØ ELECTRIC,efficient,0.992470,3,true,true,3,true,true,3,true,true
139,Bulk carrier,2018,annual_er,9571040,ABDALA,inefficient,0.992429,2,true,false,3,true,true,3,true,true
140,LNG carrier,2023,annual_er,9850680,GAS AGILITY,inefficient,0.992407,2,true,false,3,true,true,3,true,true
141,Vehicle carrier,2019,annual_er,8611984,CENK CAR,efficient,0.992372,2,true,false,3,true,true,3,true,true
142,Chemical tanker,2019,annual_er,9823390,LILY PG,efficient,0.992370,2,true,false,3,true,true,3,true,true
143,Chemical tanker,2022,annual_er,9274537,SCOT FRANKFURT,inefficient,0.992370,2,true,false,3,true,true,3,true,true
144,Bulk carrier,2018,annual_er,9400588,ESTESUN,efficient,0.992310,3,true,true,3,true,true,3,true,true
145,Chemical tanker,2022,annual_er,9360441,VELOS TOPAZ,inefficient,0.992300,2,true,false,3,true,true,3,true,true
146,Bulk carrier,2019,annual_er,8908868,TAILWIND,inefficient,0.992296,2,true,false,3,true,true,3,true,true
147,Container ship,2024,full_er,9318931,ORITA,efficient,0.992189,2,true,false,3,true,true,3,true,true
148,Chemical tanker,2021,annual_er,9382114,VS SALOME,inefficient,0.992126,2,true,false,3,true,true,3,true,true
149,Vehicle carrier,2018,annual_er,9441556,HERITAGE LEADER,inefficient,0.992059,2,true,false,3,true,true,3,true,true
150,Bulk carrier,2024,full_er,9762883,TRAMMO BAUMANN,inefficient,0.991965,2,true,false,2,true,false,3,true,true
151,Bulk carrier,2018,annual_er,9718208,VITTORIA,inefficient,0.991952,1,false,false,3,true,true,3,true,true
152,Ro-ro ship,2024,full_er,9473468,CITY OF ROTTERDAM,efficient,0.991745,2,true,false,2,true,false,3,true,true
153,Chemical tanker,2018,annual_er,9742053,HALCON TRADER,inefficient,0.991708,1,false,false,3,true,true,3,true,true
154,Bulk carrier,2020,annual_er,9602784,GEMMA,inefficient,0.991648,1,false,false,3,true,true,3,true,true
155,Container/ro-ro cargo ship,2018,annual_er,8805602,LINK STAR,efficient,0.991632,2,true,false,3,true,true,3,true,true
156,Chemical tanker,2024,full_er,9499371,JAY 2,inefficient,0.991603,2,true,false,3,true,true,3,true,true
157,Chemical tanker,2018,annual_er,9847140,CHEMICAL CONTENDER,inefficient,0.991499,2,true,false,3,true,true,3,true,true
158,General cargo ship,2020,annual_er,9763837,AUDAX,inefficient,0.991449,2,true,false,3,true,true,3,true,true
159,General cargo ship,2022,annual_er,9763837,AUDAX,inefficient,0.991449,2,true,false,3,true,true,3,true,true
160,General cargo ship,2023,annual_er,9380817,ZIMRIDA,inefficient,0.991410,2,true,false,3,true,true,3,true,true
161,Bulk carrier,2022,annual_er,9815939,MEDI GINEVRA,inefficient,0.991410,2,true,false,3,true,true,3,true,true
162,Oil tanker,2024,full_er,9292840,YELLOW TRADER,inefficient,0.991337,2,true,false,2,true,false,3,true,true
163,Chemical tanker,2018,annual_er,9323560,LEON HERMES,inefficient,0.991324,2,true,false,3,true,true,3,true,true
164,General cargo ship,2018,annual_er,9005429,NADA,inefficient,0.991137,2,true,false,3,true,true,3,true,true
165,Bulk carrier,2023,annual_er,9305087,WINNER,inefficient,0.991065,2,true,false,3,true,true,3,true,true
166,Container ship,2024,full_er,9139646,MEDKON LIA,efficient,0.991014,2,true,false,3,true,true,3,true,true
167,Chemical tanker,2019,annual_er,9249116,ELKA ATHINA,inefficient,0.991011,2,true,false,3,true,true,3,true,true
168,Oil tanker,2019,annual_er,9495832,TRIDENT KING,efficient,0.990986,2,true,false,3,true,true,3,true,true
169,Container ship,2022,annual_er,9306067,CALISTO,efficient,0.990938,2,true,false,2,true,false,3,true,true
170,Container/ro-ro cargo ship,2019,annual_er,9302176,HENRY HUDSON BRIDGE,inefficient,0.990934,1,false,false,3,true,true,3,true,true
171,Bulk carrier,2024,full_er,9520821,AMAMI,inefficient,0.990920,1,false,false,3,true,true,3,true,true
172,General cargo ship,2018,annual_er,9291963,BBC CAMPANA,inefficient,0.990902,2,true,false,3,true,true,3,true,true
173,Bulk carrier,2018,annual_er,9683245,KSL SEATTLE,inefficient,0.990893,2,true,false,3,true,true,3,true,true
174,Oil tanker,2019,annual_er,9292034,TOWER BRIDGE,inefficient,0.990711,2,true,false,2,true,false,3,true,true
175,LNG carrier,2021,annual_er,9830903,AVENIR ACCOLADE,efficient,0.990547,2,true,false,2,true,false,3,true,true
176,Oil tanker,2024,full_er,9878034,ARDMORE,medium,0.990460,1,false,false,3,true,true,3,true,true
177,Oil tanker,2018,annual_er,9392808,ALPINE MYSTERY,efficient,0.990435,2,true,false,2,true,false,3,true,true
178,Refrigerated cargo carrier,2021,annual_er,9167801,CERES TWO,inefficient,0.990381,2,true,false,3,true,true,3,true,true
179,Bulk carrier,2024,full_er,9498561,AMILLA,efficient,0.990351,2,true,false,3,true,true,3,true,true
180,Ro-pax ship,2022,annual_er,9631797,MESSINA,inefficient,0.990319,2,true,false,2,true,false,3,true,true
181,Bulk carrier,2018,annual_er,9800398,SANTA CAROLINA,efficient,0.990311,2,true,false,2,true,false,3,true,true
182,Bulk carrier,2022,annual_er,9492206,YUE MAY,inefficient,0.990284,1,false,false,3,true,true,3,true,true
183,Vehicle carrier,2023,annual_er,9491898,PATARA,efficient,0.990282,2,true,false,2,true,false,3,true,true
184,Bulk carrier,2024,full_er,9228241,FANARIA,efficient,0.990245,2,true,false,2,true,false,3,true,true
185,Container/ro-ro cargo ship,2019,annual_er,9302152,HARBOUR BRIDGE,inefficient,0.990237,1,false,false,3,true,true,3,true,true
186,Oil tanker,2022,annual_er,9506069,HAFNIA SHINANO,inefficient,0.990235,2,true,false,3,true,true,3,true,true
187,Bulk carrier,2020,annual_er,9581368,DENSA PANTHER,inefficient,0.990218,2,true,false,2,true,false,3,true,true
188,Bulk carrier,2020,annual_er,9151400,GANOSAYA,efficient,0.990218,2,true,false,3,true,true,3,true,true
189,Chemical tanker,2019,annual_er,9508940,HINCH SPIRIT,inefficient,0.990209,2,true,false,3,true,true,3,true,true
190,Oil tanker,2022,annual_er,9383950,STAR PROSPERITY,inefficient,0.990185,2,true,false,2,true,false,3,true,true
191,General cargo ship,2024,full_er,9300623,ASL ELSA,inefficient,0.990160,2,true,false,2,true,false,3,true,true
192,Bulk carrier,2019,annual_er,9146053,NECO K,efficient,0.990086,2,true,false,2,true,false,3,true,true
193,Vehicle carrier,2018,annual_er,9441568,HARMONY LEADER,inefficient,0.990073,2,true,false,3,true,true,3,true,true
194,Bulk carrier,2022,annual_er,9595369,RIA,inefficient,0.990059,2,true,false,2,true,false,3,true,true
195,General cargo ship,2021,annual_er,9763849,PUGNAX,inefficient,0.990043,2,true,false,3,true,true,3,true,true
196,Bulk carrier,2023,annual_er,9691412,JIN CHAO,inefficient,0.990020,2,true,false,2,true,false,3,true,true
197,Container ship,2019,annual_er,9164275,MAERSK AVON,efficient,0.989993,2,true,false,2,true,false,3,true,true
198,Vehicle carrier,2023,annual_er,9672404,GRAVITY HIGHWAY,inefficient,0.989969,1,false,false,3,true,true,3,true,true
199,Oil tanker,2018,annual_er,9288899,TOLEDO SPIRIT,inefficient,0.989935,1,false,false,3,true,true,3,true,true
200,Container ship,2024,full_er,9951551,CMA CGM AMBITION,medium,0.989815,1,false,false,3,true,true,3,true,true
